IDEN;HOJA;MUNICIPIO;SITIO;NOMBRE;LAT;LON;PROP;CONST;PERF;ENTU;NIVEL;FENIV;GASTO;COTA;ND;DIAM1;REG;DIAM2;PBOMBEO;EPOZO;NORTE;ESTE;ACT_MASTER
FA6563002A;6548;1701;LAS LAPAS TUCACAS;;1041.0;6829.0;BENINGNO FRANCO;;61.0;60.0;9.0;  0171;16.0;24.4;;;;8.0;;;1181026.46;556505.01;1994-01-18
FA6563003A;6548;1703;BOCA DE AROA MONTE OSCURO;;1041.0;6829.0;ABELARDO RIVAS;;52.0;49.0;2.0;  0171;14.0;10.89;;;;8.0;;;1181026.46;556505.01;1994-01-18
FA6563004A;6548;1703;TUCACAS AGUA LINDA;;1043.0;6826.0;MAC;;48.0;48.0;5.0;  0571;8.0;31.56;;;;;;;1184721.87;561966.63;1994-01-18
FA6563005A;6548;1701;BOCA DE AROA LAS BRUJITAS;;1040.0;6824.0;MAC;;30.0;30.0;3.0;  0571;;;;;;;;;1179200.0;565622.59;1994-01-18
FA6568001C;6348;1801;STA CRUZ DE BUCARAL;;1049.0;6916.0;MANUEL MORA;;;;;  1270;;815.0;;;;;;;1195734.63;470849.19;1994-01-18
FA6569001A;6348;0904;MAPARARI;;1047.0;6923.0;LUIS C MELENDEZ;;32.0;32.0;30.0;  1270;;650.0;;;;6.0;;;1192062.45;458090.95;1994-01-18
FA6569002A;6348;1801;LOS BOTALONES;;1047.0;6921.0;;;56.0;56.0;24.0;  0371;;;;;;;;;1192058.09;461735.26;1994-01-18
FA6577001A;6048;0403;EL PLATANAL;;104929.0;704951.0;COMUNIDAD;62.0;119.0;119.0;24.0;  0773;5.0;228.97;;;;6.0;;;1197213.37;299835.64;1994-01-18
FA6578002A;6048;1101;MENE MAUROA 40 PESOS;;104700.0;705445.0;COMUNIDAD;;;;55.0;  0773;;140.0;;;;6.0;;;1192689.41;290875.36;1994-01-18
FA6578003A;6048;1101;MENE MAUROA LOS LLANITOS;;104112.0;705723.0;TALON CA;;;;;  0473;;99.58;;;;12.0;;;1182025.48;286006.5;1994-01-18
