"IDEN";"HOJA";"MUNICIPIO";"SITIO";"NOMBRE";"LAT";"LON";"PROP";"CONST";"PERF";"ENTU";"NIVEL";"FENIV";"GASTO";"COTA";"ND";"DIAM1";"REG";"DIAM2";"PBOMBEO";"EPOZO";"NORTE";"ESTE";"ACT_MASTER"
"CA6160109C";"6646";"0905";"LA ISLETA LA MONTAÑITA";;"1008";"6752";"RAFAEL URBINA";;;"   6.0";"   1.10";"230988";;;;;;"  2";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160110A";"6646";"0905";"LA CULEBRA LA MONTAÑITA";;"1008";"6752";"ELIAS ESTELES";;;;;"230988";;" 403.00";;;;;;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160111A";"6646";"0905";"ISLA LA CULEBRA";;"1008";"6752";"MARIO DIGIOGIA";;"  70.0";"  70.0";;"230988";;" 404.00";;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160112A";"6646";"0905";"LA GLORIETA";;"1008";"6752";"VICNTE ASCANIO";;" 170.0";" 170.0";;"230988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160113A";"6646";"0905";"AGROP TRICAREÑA";;"1008";"6752";"RODRIGO MORALES";;"  80.0";"  80.0";;"230988";;;;;;" 10";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160114A";"6646";"0905";"EL ROBLE";;"1009";"6754";"VICENTE MORALES";;" 120.0";" 120.0";;"260988";;;;;;" 10";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160115A";"6646";"0905";"EL ROBLE";;"1009";"6754";"JORGE ORTEGA";;"  90.0";"  90.0";"   6.20";"260988";;;;;;" 10";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160116A";"6646";"0905";"AGRICOLA FAVECA SAMAN MOCHO";;"1008";"6752";"FRANCISCO VOSALLA";;"  90.0";"  90.0";;"260988";;;;;;"  6";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160117A";"6646";"0905";"SAMAN MOCHO PARCELA 460";;"1008";"6752";"MANSUETO TEDESCO";;"  30.0";"  30.0";;"260988";;;;;;"  6";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160118A";"6646";"0905";"EL ROBLE";;"1009";"6754";"HNOS GOMEZ";;" 100.0";" 100.0";;"260988";;;;;;" 10";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160119A";"6646";"0905";"FCA LA ZULIANERA LOS ROBLES";;"1009";"6754";"LUIS LUCIANI";"  78";" 100.0";" 100.0";"  14.00";"260988";;;;;;" 10";;;"1122213.67";" 620511.14";18/1/1994 0:00:00
"CA6160120A";"6646";"0905";"ISLA LA CULEBRA FCA BOCA D RIO";;"1008";"6752";"GUILLERMO HEREDIA";;" 105.0";" 105.0";"  10.50";"260988";;;;;;"  8";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160121C";"6646";"0905";"GJA LA GLORIETA";;"1008";"6752";"ANTONIO";;"  20.0";"  20.0";;"260988";;;;;;"  6";;;"1120383.11";" 624169.86";18/1/1994 0:00:00
"CA6160122A";"6646";"0203";"CAS CENTRAL TACARIGUA";;"1005";"6755";"CENTRAL TACARIGUA";;;;"   7.30";"270988";;;;;;;;;"1114835.25";" 618709.50";18/1/1994 0:00:00
"CA6160123A";"6646";"0203";"CENTRAL TACARIGUA LAS TINAJAS";;"1005";"6755";"CTRAL TACARIGUA C A";;;;;;;;;;;" 16";;;"1114835.25";" 618709.50";18/1/1994 0:00:00
